<<<<<<< HEAD
Doctor Identifier,ChargePerPatient,DrugChargePerPatient,PercentChargePaid,PercentDrugChargePaid,PercentAllowedPaid,PercentChargeAllowed,AveragePatientRisk
944411606,2446.37789474,0.0,0.321292402646,0.0,0.777976372185,2.42139672703,1.48
550942346,3714.28571429,0.0,0.347025641026,0.0,0.75952890576,2.18868237954,1.49
417435316,404.673212883,25.6959937156,0.213455175105,0.014183158659,0.702352945685,3.29040017578,1.33
279650060,265.544861111,0.0,0.220681742936,0.0,0.77476453476,3.51077766765,2.2
187513628,444.225083987,0.0,0.199235958285,0.0,0.726527214053,3.6465667157,2.08
258057315,847.739130435,0.0,0.304193378808,0.0,0.767442056057,2.5228756098,3.06
933186891,1046.53968254,0.0,0.329452314506,0.0,0.751671509641,2.28157908306,1.61
792931829,1930.21167883,0.0,0.253588578084,0.0,0.762214419838,3.00571273989,1.55
707233569,926.422933333,0.0,0.120690305306,0.0,0.790356556153,6.54863333179,1.41
307736204,1459.88041237,0.0,0.175509051723,0.0,0.765378692455,4.36090722923,1.73
700956040,262.762688615,0.0,0.327154431649,0.0,0.718747808311,2.19696797225,1.68
555574243,569.610304569,0.0,0.145581853405,0.0,0.79978233432,5.49369523476,1.07
263999175,546.813953488,0.0,0.26866541913,0.0,0.764041097961,2.84383863184,1.25
610798203,942.772269032,0.0,0.255636848656,0.0,0.713490833799,2.79103281687,1.09
486325975,220.959183673,0.0,0.231600628059,0.0,0.674499614001,2.91233931295,1.24
263890366,449.305555556,0.0,0.388576568779,0.0,0.681054366447,1.75269025764,1.46
183311807,963.273584906,66.25,0.266597099122,0.0539652521375,0.811560583005,3.04414633797,1.86
231549802,210.738197425,2.36051502146,0.32448372775,0.00688790680624,0.7242603206,2.23203895499,1.08
493910894,403.093478261,0.0,0.257158497058,0.0,0.760421547236,2.95701505467,1.13
815329225,3193.93145161,1295.2688172,0.391371211786,0.236276582986,0.768265587185,1.963009961,1.25
966773639,663.65,0.0,0.519528215174,0.0,0.701004800609,1.34931035531,1.29
817056695,479.030543807,0.0,0.230594129848,0.0,0.744447611679,3.22838925765,1.51
234264248,470.239608802,0.0,0.222045723972,0.0,0.774392095928,3.4875343784,2.22
678464429,1300.58185321,0.0,0.264655984391,0.0,0.764722116426,2.88949489726,1.31
169907556,346.383928571,27.5,0.286947544787,0.0431277226447,0.709515633126,2.47263183121,1.17
350315806,117.884057971,0.0,0.373689451684,0.0,0.678006214408,1.81435737978,1.52
873826703,1477.00777778,0.0,0.298808928261,0.0,0.777700994885,2.60266987138,2.31
646413900,946.129032258,0.0,0.502385612001,0.0,0.766002917419,1.52473100169,1.34
925723463,113.921568627,0.0,0.279025817556,0.0,0.754523960234,2.70413672413,1.46
822143189,1126.472,0.0,0.275414331944,0.0,0.767236828439,2.78575491342,2.31
615905226,573.4,0.0,0.369208043062,0.0,0.800262931841,2.1675121842,1.46
461558088,366.214285714,0.0,0.354080358884,0.0,0.60069819,1.69650243208,0.64
764598052,127.321978022,0.0,0.370730086395,0.0,0.6710970151,1.81020381061,1.21
937024260,557.555555556,0.0,0.329924272619,0.0,0.725061926935,2.19766166696,0.73
957326897,541.647058824,0.0,0.315689617724,0.0,0.784011068887,2.48348702292,3.36
996252898,821.538461538,0.0,0.45428417603,0.0,0.734996349071,1.61792197011,0.75
178241407,625.698412698,0.0,0.214633624829,0.0,0.772566401811,3.59946584523,2.3
680899538,1913.19194757,0.0,0.145829982934,0.0,0.778620332333,5.33923351471,1.53
531866944,3124.86666667,0.0,0.214163733208,0.0,0.629050878662,2.93724277794,1.39
290327095,703.683673469,0.0,0.262056089674,0.0,0.746156221846,2.84731494992,2.76
804271074,1139.48371928,3.22228290552,0.379115123227,0.00147057506171,0.807871410871,2.13093955206,1.15
828369853,782.162089552,107.005373134,0.335681557016,0.0664857228891,0.800657818231,2.38517071164,1.28
676341645,128.409090909,0.0,0.165600884956,0.0,0.783724017775,4.73260766682,2.34
546371934,4932.24465558,5.15439429929,0.0963795061342,0.000132751417667,0.770996557534,7.99959024962,1.42
626205145,1717.3221321,167.207415991,0.22681101637,0.02552784692,0.747731841054,3.2967174744,1.21
619347014,1384.73891892,0.0,0.323519078823,0.0,0.784012596715,2.42338906122,2.36
962592713,445.933333333,0.0,0.248283749439,0.0,0.783984856281,3.15761646927,0.84
371330670,599.714285714,9.23120300752,0.292710657957,0.0104622501943,0.713142127639,2.43633809788,1.6
154482209,403.333333333,0.0,0.686194674013,0.0,0.733376580934,1.06875877751,1.1
402843677,164.073220339,0.0,0.546348416168,0.0,0.675583730279,1.23654377003,0.91
757206658,1578.33333333,0.0,0.53599436818,0.0,0.75038239561,1.39998186578,1.27
679102189,482.638242894,0.0,0.237053501159,0.0,0.759426173625,3.20360665382,2.13
312194537,496.875920084,12.880126183,0.365041933934,0.014248670452,0.752737239815,2.06205690317,1.22
270575625,992.155012225,0.0,0.106470664484,0.0,0.779956374313,7.32555186061,1.51
