Doctor Identifier,ChargePerPatient,DrugChargePerPatient,PercentChargePaid,PercentDrugChargePaid,PercentAllowedPaid,AveragePatientRisk
481727977,793.0650887573964,0.0,0.22025173844271348,0.0,0.745539376330964,2.21
722484472,1926.2369230769232,0.0,0.7477313278820242,0.0,0.7753029329340603,0.88
576594123,942.4969696969697,0.0,0.15470825402541283,0.0,0.7724688382749655,1.95
764597302,1900.316894977169,0.0,0.08261234487686986,0.0,0.7792426230771499,1.93
329241508,1705.2564102564102,0.0,0.07346650627772348,0.0,0.7432311354837728,1.47
172587429,578.3333333333334,0.0,0.30442267050912586,0.0,0.6864029387811682,1.32
332963671,751.6117216117216,0.0,0.3913356888737268,0.0,0.763980132258155,2.28
284422239,877.5411585365854,71.08231707317073,0.1422580067990696,0.021279229137678553,0.745754698209868,1.19
982451709,172.95,0.0,0.24881613183000864,0.0,0.6778866034191467,1.27
190622644,129.71428571428572,0.0,0.45347136563876655,0.0,0.7858882450394328,1.35
554446533,391.84578313253013,0.0,0.15498890023121956,0.0,0.7930790343782671,0.98
976788736,158.03413333333333,0.0,0.16251233488799044,0.0,0.7429234738224766,1.63
583130720,584.0922077922078,0.0,0.11099590662388743,0.0,0.7829512878253911,1.31
661875259,1149.492385786802,0.0,0.32446338411717085,0.0,0.7807190369619962,2.12
932391040,630.8219178082192,0.0,0.3422460369163952,0.0,0.6894449987948166,1.0
564540302,136.22880901287553,0.0,0.2496989727504179,0.0,0.7387046446533573,1.61
429658231,937.5356037151703,0.0,0.212640972974401,0.0,0.726008455788632,1.91
982412220,717.7702702702703,0.0,0.4915351595594465,0.0,0.718435538658313,1.13
317128674,1824.2091690544412,3.5816618911174785,0.33641697387414415,0.0005199411292564662,0.7751903578239927,1.3
846430671,973.3398058252427,0.0,0.27302920581722423,0.0,0.7618923424339954,0.97
253650000,575.1333333333333,0.0,0.31711834936826244,0.0,0.7167300230807723,1.54
139881276,649.6168224299065,0.0,0.33908242098145563,0.0,0.751322744576253,3.07
361021714,678.5110572687225,61.04409691629956,0.43941992446404243,0.06124773985224579,0.8197836741289054,1.21
568375721,357.35714285714283,0.0,0.2901998800719568,0.0,0.7376038935966998,1.19
340103052,233.03571428571428,0.0,0.2204652037617555,0.0,0.7648555517907576,1.77
162213814,426.18819188191884,0.0,0.218342900681403,0.0,0.7795010416859858,2.25
153783450,320.9865470852018,0.0,0.27999147806649904,0.0,0.6507402158225495,1.06
322943767,435.0,0.0,0.5139436781609196,0.0,0.6660365751022967,0.79
721905150,1017.7953448275862,0.0,0.5208553375932734,0.0,0.7363824498453936,1.36
795332384,345.65408805031444,7.10062893081761,0.5228286540875926,0.012850124638366782,0.8122901897793958,2.02
282337555,564.2132352941177,83.56617647058823,0.3541663951624464,0.07979083314871047,0.8867640523204251,1.43
142196464,292.02963590177814,0.0,0.24388504060750332,0.0,0.7287614557800414,2.28
100523519,925.1851851851852,0.0,0.3577085668534828,0.0,0.772461798603691,1.24
850624819,733.5858585858585,0.0,0.46063462994836485,0.0,0.7549967749637888,0.87
677230441,851.1627906976744,0.0,0.41338387978142077,0.0,0.7752639664189008,0.85
616110694,1456.9146341463415,0.0,0.35390986632291765,0.0,0.7717404656703167,0.95
222372592,490.0,0.0,0.40174754346182917,0.0,0.736157028513495,1.09
901863212,611.3488372093024,0.0,0.23121810059994785,0.0,0.7695982166839678,1.86
905106379,114.2728635682159,0.0,0.22734400419837314,0.0,0.7006848273698035,1.9
334496449,1695.8106666666667,0.0,0.0871329582390487,0.0,0.7736880135719123,1.25
646621982,535.3031358885017,103.41114982578397,0.6911014632368256,0.14655794365757135,0.8538013210140759,1.19
299094263,748.4935135135134,81.07009009009009,0.3466202021646363,0.06817778605867546,0.7594982878554836,1.23
235027758,9929.427964601771,0.0,0.3566683911672014,0.0,0.7817417042970547,1.71
809228860,279.54545454545456,0.0,0.4775918699186992,0.0,0.6410706081482945,0.83
667481249,59.55223880597015,29.55223880597015,0.7664101921470343,0.29609022556390974,0.9799364649382167,0.79
404964022,537.6315789473684,0.0,0.30362408223201176,0.0,0.7491974230576913,1.74
426813523,62.096065573770495,44.35540983606557,0.9750373561852866,0.695008527242295,0.9799983283293775,0.98
687567402,150.53074433656957,0.0,0.36303707844233274,0.0,0.8028932668055673,1.65
524969119,668.1842105263158,0.0,0.291529478949234,0.0,0.7797087030679426,1.44
161451765,528.4967320261438,0.0,0.40286899167285023,0.0,0.7735235250486995,1.32
555273455,321.13461538461536,0.0,0.31459907778908913,0.0,0.7676253904982889,1.0
603099584,534.4594594594595,0.0,0.47871201011378006,0.0,0.7561452331011083,1.18
368863859,985.5707317073171,172.55121951219513,0.31793993328119896,0.07486760178576732,0.8066765672166218,0.94
698064333,656.0,0.0,0.29103150406504064,0.0,0.7097601224894718,2.3
514862802,211.3116406966086,0.0,0.21770350320911827,0.0,0.7450627246878586,2.0
420986202,4565.239047619048,0.0,0.28897657474150934,0.0,0.7697010899763956,0.91
778402073,373.6118421052632,0.0,0.22457747098910003,0.0,0.7701839535674407,1.98
613368173,402.4925373134328,0.0,0.3913650016687062,0.0,0.7294953546304855,1.54
563750405,1775.0,0.0,0.48870952775476384,0.0,0.7651331982948626,1.45
473397257,544.8069498069498,0.0,0.3713652244782254,0.0,0.7079629243333448,1.09
873086096,390.85788461538465,0.0,0.3346801406439451,0.0,0.7382404343473918,1.19
565864653,2443.025977859779,114.2189421894219,0.3291265446761193,0.016750066957673507,0.7500241229099263,1.3
861321587,938.1530343007915,45.949868073878626,0.3019598661266734,0.03429398695016312,0.7267659967941428,1.1
821571136,1415.362470862471,111.92890442890443,0.2279734531419711,0.027996147831693675,0.7625695565691505,1.24
225054913,236.0,0.0,0.17814537157757496,0.0,0.7761620063336978,2.47
599901578,265.84656084656086,2.7354497354497354,0.2518804856204598,0.0020518459548213752,0.7316705632871289,1.16
839033023,370.8979591836735,0.0,0.2283911081765159,0.0,0.7840062557608909,1.17
908676738,133.23655913978496,0.0,0.2112872245984989,0.0,0.7269662765351882,1.97
999817876,157.8148614609572,0.0,0.22513678624157057,0.0,0.7776291719080327,1.93
804697370,161.05263157894737,0.0,0.3696437908496732,0.0,0.78962212123116,0.71
552614625,172.1,0.0,0.6054503195816386,0.0,0.7258291950014281,0.92
947313182,2536.6582914572864,1286.0050251256282,0.38917738884101466,0.2778381521211581,0.7686562436896507,1.31
474342678,9588.74,0.0,0.17604002194240326,0.0,0.7532174573705304,2.04
945020814,487.72093023255815,0.0,0.18584588975777228,0.0,0.7704514904720486,1.55
153609258,253.56521739130434,0.0,0.1722650891632373,0.0,0.7839763398570403,1.07
521146898,926.8121875,0.0,0.453701683762116,0.0,0.7239776513308464,1.16
432871462,511.22222222222223,0.0,0.46213154145234125,0.0,0.7209089302888735,2.34
802890630,262.47058823529414,0.0,0.30334827431645,0.0,0.7614680963578878,1.05
411570215,320.38578680203045,0.0,0.29447810380885986,0.0,0.7788100484676872,2.48
467609654,623.3636363636364,0.0,0.2744494676972437,0.0,0.5897672144710616,3.19
920382095,1543.2400722021662,0.0,0.13647526478001767,0.0,0.7614266321602068,1.75
607885275,569.0641183723798,118.71763255240444,0.22303141203568277,0.08898650303026363,0.750085005521533,0.98
757388798,478.8423180592992,0.0,0.38034748002397967,0.0,0.7179583136561052,2.42
171040114,522.8205128205128,0.0,0.4809333006375674,0.0,0.713576333630953,1.12
908634756,712.9104477611941,0.0,0.317523709829373,0.0,0.7554776603510615,2.59
244631387,1378.7307692307693,0.0,0.41027840544536504,0.0,0.7652305980893235,0.92
480099702,724.0445185185184,36.91111111111111,0.33122225946321787,0.04291005988742807,0.8090976835800634,1.09
361896173,1327.8088235294117,0.0,0.20083596371731402,0.0,0.7623818821167129,1.65
423994266,2175.646687697161,0.0,0.19517922804779025,0.0,0.774597136577033,2.38
